,min,max,mean,std
297,1999.999999999999,2000.000000000001,2000.0,2.7165475518127293e-13
298,1999.999999999999,2000.000000000001,2000.0,2.6221401818133054e-13
299,1999.999999999999,2000.000000000001,2000.0,2.644991508626246e-13
300,1999.999999999999,2000.000000000001,2000.0,2.772734305617629e-13
301,1999.999999999999,2000.000000000001,2000.0,2.774090497582125e-13
302,1999.9999999999989,2000.000000000001,2000.0,2.707185499089492e-13
303,1999.999999999999,2000.000000000001,2000.0,2.59619203199643e-13
304,1999.9999999999989,2000.000000000001,2000.0,2.712737282411749e-13
305,1999.999999999999,2000.000000000001,2000.0,2.5301576831901906e-13
306,1999.999999999999,2000.000000000001,2000.0,2.7604985956362655e-13
307,1999.999999999999,2000.000000000001,2000.0,2.715162617972111e-13
308,1999.999999999999,2000.000000000001,2000.0,2.681709645095013e-13
309,1999.999999999999,2000.000000000001,2000.0,1.220437104835707e-13
310,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
313,0.0005702496900685,0.2476618871694932,0.019087527763659098,0.030340747538303032
314,6.066232629615944e-05,0.1841610118091327,0.010129465324894464,0.022004699762566884
315,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.0005455074955393,0.2208977478738178,0.021906868761634925,0.031086227572942854
319,5.238248177084033e-05,0.0902353342653213,0.006702730512336739,0.010926401254212773
320,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,0.0004239600830178,0.2173093770519605,0.017777086474696804,0.025359434013811515
324,5.305718108285669e-05,0.167825702876519,0.009149398726256319,0.01658787901655783
325,0.0,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
328,0.0004156207572074,0.261533581733562,0.017455760229995964,0.024644901766002418
329,4.8880497612045136e-05,0.1193054125063667,0.008718713474158967,0.013946763365170003
330,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0
